Altium Designer Pick and Place Locations
D:\Astapenko\PWM\Led Digit\LED fix9_10 RD 2000278\LED fix910 RD 2000278 (4F00223A_7P00493A)\Project Outputs for LED fix910 RD 2000278 (4F00223A_7P00493A)\Pick Place for LED fix910 RD 2000278 (4F00223A_7P00493A).csv

========================================================================================================================
File Design Information:

Date:       19.05.22
Time:       15:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Layer"",""Rotation"",""Comment"""
"VS173,""SOT23"",""339.9999"",""61.5000"",""340.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS172,""SOT23"",""319.9999"",""61.5000"",""320.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS171,""SOT23"",""319.9999"",""41.5000"",""320.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS170,""SOT23"",""339.9999"",""41.9075"",""340.0000"",""41.9075"",""TopLayer"",""90"",""BZX84"""
"VS169,""SOT23"",""359.9999"",""41.9075"",""360.0000"",""41.9075"",""TopLayer"",""90"",""BZX84"""
"VS168,""SOT23"",""259.9999"",""61.5000"",""260.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS167,""SOT23"",""279.9999"",""61.5000"",""280.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS166,""SOT23"",""299.9999"",""61.5000"",""300.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS165,""SOT23"",""279.9999"",""41.5000"",""280.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS164,""SOT23"",""299.9999"",""41.5000"",""300.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS163,""SOT23"",""239.9999"",""61.5000"",""240.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS162,""SOT23"",""219.9999"",""61.5000"",""220.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS161,""SOT23"",""219.9999"",""41.5000"",""220.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS160,""SOT23"",""239.9999"",""41.5000"",""240.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS159,""SOT23"",""259.9999"",""41.5000"",""260.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS158,""SOT23"",""159.9999"",""61.5000"",""160.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS157,""SOT23"",""179.9999"",""61.5000"",""180.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS156,""SOT23"",""199.9999"",""61.5000"",""200.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS155,""SOT23"",""179.9999"",""41.5000"",""180.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS154,""SOT23"",""199.9999"",""41.5000"",""200.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS153,""SOT23"",""119.9999"",""61.5000"",""120.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS152,""SOT23"",""139.9999"",""61.5000"",""140.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS151,""SOT23"",""159.9999"",""41.5000"",""160.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS150,""SOT23"",""139.9999"",""41.5000"",""140.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS149,""SOT23"",""119.9999"",""41.5000"",""120.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS148,""SOT23"",""59.9999"",""61.5000"",""60.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS147,""SOT23"",""79.9999"",""61.5000"",""80.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS146,""SOT23"",""99.9999"",""61.5000"",""100.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS145,""SOT23"",""79.9999"",""41.5000"",""80.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS144,""SOT23"",""99.9999"",""41.5000"",""100.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS143,""SOT23"",""359.9999"",""61.5000"",""360.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS142,""SOT23"",""379.9999"",""61.5000"",""380.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS141,""SOT23"",""379.9999"",""41.9075"",""380.0000"",""41.9075"",""TopLayer"",""90"",""BZX84"""
"VS140,""SOT23"",""39.9999"",""61.5000"",""40.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS139,""SOT23"",""19.9999"",""61.5000"",""20.0000"",""61.5000"",""TopLayer"",""90"",""BZX84"""
"VS138,""SOT23"",""19.9999"",""41.5000"",""20.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS137,""SOT23"",""39.9999"",""41.5000"",""40.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS136,""SOT23"",""59.9999"",""41.5000"",""60.0000"",""41.5000"",""TopLayer"",""90"",""BZX84"""
"VS135,""SOT23"",""119.9999"",""181.5000"",""120.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS134,""SOT23"",""99.9999"",""181.5000"",""100.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS133,""SOT23"",""99.9999"",""161.5000"",""100.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS132,""SOT23"",""119.9999"",""161.5000"",""120.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS131,""SOT23"",""119.9999"",""141.5000"",""120.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS130,""SOT23"",""139.9999"",""181.5000"",""140.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS129,""SOT23"",""139.9999"",""161.5000"",""140.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS128,""SOT23"",""159.9999"",""161.5000"",""160.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS127,""SOT23"",""139.9999"",""141.5000"",""140.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS126,""SOT23"",""139.9999"",""121.5000"",""140.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS125,""SOT23"",""179.9999"",""161.5000"",""180.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS124,""SOT23"",""179.9999"",""141.5000"",""180.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS123,""SOT23"",""159.9999"",""141.5000"",""160.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS122,""SOT23"",""159.9999"",""121.5000"",""160.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS121,""SOT23"",""179.9999"",""121.5000"",""180.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS120,""SOT23"",""199.9999"",""161.5000"",""200.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS119,""SOT23"",""219.9999"",""161.5000"",""220.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS118,""SOT23"",""219.9999"",""141.5000"",""220.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS117,""SOT23"",""199.9999"",""141.5000"",""200.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS116,""SOT23"",""199.9999"",""121.5000"",""200.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS115,""SOT23"",""239.9999"",""161.5000"",""240.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS114,""SOT23"",""239.9999"",""141.5000"",""240.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS113,""SOT23"",""219.9999"",""121.5000"",""220.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS112,""SOT23"",""239.9999"",""121.5000"",""240.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS111,""SOT23"",""259.9999"",""121.5000"",""260.0000"",""121.5000"",""TopLayer"",""90"",""BZX84"""
"VS110,""SOT23"",""259.9999"",""161.5000"",""260.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS109,""SOT23"",""259.9999"",""141.5000"",""260.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS108,""SOT23"",""279.9999"",""141.5000"",""280.0000"",""141.5000"",""TopLayer"",""90"",""BZX84"""
"VS107,""SOT23"",""279.9999"",""161.5000"",""280.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS106,""SOT23"",""299.9999"",""161.5000"",""300.0000"",""161.5000"",""TopLayer"",""90"",""BZX84"""
"VS105,""SOT23"",""259.9999"",""181.5000"",""260.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS104,""SOT23"",""279.9999"",""201.5000"",""280.0000"",""201.5000"",""TopLayer"",""90"",""BZX84"""
"VS103,""SOT23"",""279.9999"",""181.5000"",""280.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS102,""SOT23"",""299.9999"",""181.5000"",""300.0000"",""181.5000"",""TopLayer"",""90"",""BZX84"""
"VS101,""SOT23"",""299.9999"",""201.5000"",""300.0000"",""201.5000"",""TopLayer"",""90"",""BZX84"""
"VS100,""SOT23"",""259.9999"",""201.5000"",""260.0000"",""201.5000"",""TopLayer"",""90"",""BZX84"""
"VS99,""SOT23"",""259.9999"",""221.5000"",""260.0000"",""221.5000"",""TopLayer"",""90"",""BZX84"""
"VS98,""SOT23"",""259.9999"",""241.5000"",""260.0000"",""241.5000"",""TopLayer"",""90"",""BZX84"""
"VS97,""SOT23"",""279.9999"",""221.5000"",""280.0000"",""221.5000"",""TopLayer"",""90"",""BZX84"""
"VS96,""SOT23"",""299.9999"",""221.5000"",""300.0000"",""221.5000"",""TopLayer"",""90"",""BZX84"""
"VS95,""SOT23"",""259.9999"",""261.5000"",""260.0000"",""261.5000"",""TopLayer"",""90"",""BZX84"""
"VS94,""SOT23"",""279.9999"",""261.5000"",""280.0000"",""261.5000"",""TopLayer"",""90"",""BZX84"""
"VS93,""SOT23"",""279.9999"",""241.5000"",""280.0000"",""241.5000"",""TopLayer"",""90"",""BZX84"""
"VS92,""SOT23"",""299.9999"",""241.5000"",""300.0000"",""241.5000"",""TopLayer"",""90"",""BZX84"""
"VS91,""SOT23"",""299.9999"",""261.5000"",""300.0000"",""261.5000"",""TopLayer"",""90"",""BZX84"""
"VS90,""SOT23"",""259.9999"",""281.5000"",""260.0000"",""281.5000"",""TopLayer"",""90"",""BZX84"""
"VS89,""SOT23"",""259.9999"",""301.5000"",""260.0000"",""301.5000"",""TopLayer"",""90"",""BZX84"""
"VS88,""SOT23"",""279.9999"",""301.5000"",""280.0000"",""301.5000"",""TopLayer"",""90"",""BZX84"""
"VS87,""SOT23"",""279.9999"",""281.5000"",""280.0000"",""281.5000"",""TopLayer"",""90"",""BZX84"""
"VS86,""SOT23"",""299.9999"",""281.5000"",""300.0000"",""281.5000"",""TopLayer"",""90"",""BZX84"""
"VS85,""SOT23"",""259.9999"",""321.5000"",""260.0000"",""321.5000"",""TopLayer"",""90"",""BZX84"""
"VS84,""SOT23"",""279.9999"",""321.5000"",""280.0000"",""321.5000"",""TopLayer"",""90"",""BZX84"""
"VS83,""SOT23"",""299.9999"",""301.5000"",""300.0000"",""301.5000"",""TopLayer"",""90"",""BZX84"""
"VS82,""SOT23"",""299.9999"",""321.5000"",""300.0000"",""321.5000"",""TopLayer"",""90"",""BZX84"""
"VS81,""SOT23"",""299.9999"",""341.5000"",""300.0000"",""341.5000"",""TopLayer"",""90"",""BZX84"""
"VS80,""SOT23"",""259.9999"",""341.5000"",""260.0000"",""341.5000"",""TopLayer"",""90"",""BZX84"""
"VS79,""SOT23"",""259.9999"",""361.4999"",""260.0000"",""361.4999"",""TopLayer"",""90"",""BZX84"""
"VS78,""SOT23"",""279.9999"",""361.5000"",""280.0000"",""361.5000"",""TopLayer"",""90"",""BZX84"""
"VS77,""SOT23"",""279.9999"",""341.5000"",""280.0000"",""341.5000"",""TopLayer"",""90"",""BZX84"""
"VS76,""SOT23"",""299.9999"",""361.5000"",""300.0000"",""361.5000"",""TopLayer"",""90"",""BZX84"""
"VS75,""SOT23"",""259.9999"",""381.5000"",""260.0000"",""381.5000"",""TopLayer"",""90"",""BZX84"""
"VS74,""SOT23"",""279.9999"",""381.5000"",""280.0000"",""381.5000"",""TopLayer"",""90"",""BZX84"""
"VS73,""SOT23"",""279.9999"",""401.5000"",""280.0000"",""401.5000"",""TopLayer"",""90"",""BZX84"""
"VS72,""SOT23"",""299.9999"",""381.5000"",""300.0000"",""381.5000"",""TopLayer"",""90"",""BZX84"""
"VS71,""SOT23"",""299.9999"",""401.5000"",""300.0000"",""401.5000"",""TopLayer"",""90"",""BZX84"""
"VS70,""SOT23"",""259.9999"",""401.5000"",""260.0000"",""401.5000"",""TopLayer"",""90"",""BZX84"""
"VS69,""SOT23"",""259.9999"",""421.5000"",""260.0000"",""421.5000"",""TopLayer"",""90"",""BZX84"""
"VS68,""SOT23"",""259.9999"",""441.5000"",""260.0000"",""441.5000"",""TopLayer"",""90"",""BZX84"""
"VS67,""SOT23"",""279.9999"",""421.5000"",""280.0000"",""421.5000"",""TopLayer"",""90"",""BZX84"""
"VS66,""SOT23"",""299.9999"",""421.5000"",""300.0000"",""421.5000"",""TopLayer"",""90"",""BZX84"""
"VS65,""SOT23"",""279.9999"",""441.5000"",""280.0000"",""441.5000"",""TopLayer"",""90"",""BZX84"""
"VS64,""SOT23"",""299.9999"",""441.5000"",""300.0000"",""441.5000"",""TopLayer"",""90"",""BZX84"""
"VS63,""SOT23"",""299.9999"",""461.5000"",""300.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS62,""SOT23"",""279.9999"",""461.5001"",""280.0000"",""461.5001"",""TopLayer"",""90"",""BZX84"""
"VS61,""SOT23"",""279.9999"",""481.4999"",""280.0000"",""481.4999"",""TopLayer"",""90"",""BZX84"""
"VS60,""SOT23"",""259.9999"",""461.5001"",""260.0000"",""461.5001"",""TopLayer"",""90"",""BZX84"""
"VS59,""SOT23"",""259.9999"",""481.4999"",""260.0000"",""481.4999"",""TopLayer"",""90"",""BZX84"""
"VS58,""SOT23"",""239.9999"",""481.4999"",""240.0000"",""481.4999"",""TopLayer"",""90"",""BZX84"""
"VS57,""SOT23"",""269.7155"",""492.5000"",""269.7154"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS56,""SOT23"",""250.0357"",""492.5001"",""250.0356"",""492.5001"",""TopLayer"",""270"",""BZX84"""
"VS55,""SOT23"",""239.9999"",""461.5000"",""240.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS54,""SOT23"",""219.9999"",""461.5000"",""220.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS53,""SOT23"",""199.9999"",""461.5000"",""200.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS52,""SOT23"",""219.9999"",""481.4999"",""220.0000"",""481.4999"",""TopLayer"",""90"",""BZX84"""
"VS51,""SOT23"",""230.0806"",""492.5000"",""230.0805"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS50,""SOT23"",""179.9999"",""461.5000"",""180.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS49,""SOT23"",""179.9999"",""481.5000"",""180.0000"",""481.5000"",""TopLayer"",""90"",""BZX84"""
"VS48,""SOT23"",""199.9999"",""481.5000"",""200.0000"",""481.5000"",""TopLayer"",""90"",""BZX84"""
"VS47,""SOT23"",""210.0960"",""492.5000"",""210.0959"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS46,""SOT23"",""189.9277"",""492.5000"",""189.9276"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS45,""SOT23"",""159.9999"",""461.5000"",""160.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS44,""SOT23"",""139.9999"",""481.5000"",""140.0000"",""481.5000"",""TopLayer"",""90"",""BZX84"""
"VS43,""SOT23"",""159.9999"",""481.5000"",""160.0000"",""481.5000"",""TopLayer"",""90"",""BZX84"""
"VS42,""SOT23"",""170.0428"",""492.5000"",""170.0427"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS41,""SOT23"",""150.0339"",""492.5000"",""150.0338"",""492.5000"",""TopLayer"",""270"",""BZX84"""
"VS40,""SOT23"",""139.9999"",""461.5000"",""140.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
"VS39,""SOT23"",""119.9999"",""481.5000"",""120.0000"",""481.5000"",""TopLayer"",""90"",""BZX84"""
"VS38,""SOT23"",""119.9999"",""461.5000"",""120.0000"",""461.5000"",""TopLayer"",""90"",""BZX84"""
